sample,address,bank,size,loop_point
0x00,0x0320,0xC1,0x0F8A,0x0F8A
0x01,0x12AA,0xC1,0x13D4,0x13D4
0x02,0x267E,0xC1,0x07CE,0x0048
0x03,0x2E4C,0xC1,0x1332,0x001B
0x04,0x417E,0xC1,0x04AD,0x0024
0x05,0x0000,0x00,0x0000,0x0000
0x06,0x462B,0xC1,0x1F26,0x1F26
0x07,0x0000,0x00,0x0000,0x0000
0x08,0x0000,0x00,0x0000,0x0000
0x09,0x6551,0xC1,0x18C9,0x0BD9
0x0A,0x7E1A,0xC1,0x003F,0x001B
0x0B,0x0000,0x00,0x0000,0x0000
0x0C,0x7E59,0xC1,0x078F,0x05A9
0x0D,0x85E8,0xC1,0x0384,0x0240
0x0E,0x0000,0x00,0x0000,0x0000
0x0F,0x0000,0x00,0x0000,0x0000
0x10,0x896C,0xC1,0x05D6,0x022E
0x11,0x0000,0x00,0x0000,0x0000
0x12,0x8F42,0xC1,0x2EEF,0x27CC
0x13,0x0000,0x00,0x0000,0x0000
0x14,0xBE31,0xC1,0x1959,0xCCC
0x15,0xD78A,0xC1,0x177C,0x1383
0x16,0x0000,0x00,0x0000,0x0000
0x17,0xEF06,0xC1,0x2250,0x0024
0x18,0x0000,0x00,0x0000,0x0000
0x19,0x0000,0x00,0x0000,0x0000
0x1A,0x0000,0x00,0x0000,0x0000
0x1B,0x1156,0xC2,0x0948,0x0948
0x1C,0x1A9E,0xC2,0x1F26,0x1F26
0x1D,0x0000,0x00,0x0000,0x0000
0x1E,0x0000,0x00,0x0000,0x0000
0x1F,0x39C4,0xC2,0x08E5,0x08E5
0x20,0x0000,0x00,0x0000,0x0000
0x21,0x42A9,0xC2,0x0BA3,0x0BA3
0x22,0x0000,0x00,0x0000,0x0000
0x23,0x0000,0x00,0x0000,0x0000
0x24,0x4E4C,0xC2,0x1B5A,0x15DE
0x25,0x69A6,0xC2,0x12B4,0x0024
0x26,0x7C5A,0xC2,0x119D,0x0B25
0x27,0x8DF7,0xC2,0x31F5,0x2331
0x28,0xBFEC,0xC2,0x1BB4,0x06B7
0x29,0xDBA0,0xC2,0x0BA3,0x06B7
0x2A,0xE743,0xC2,0x0F8A,0x0F8A
0x2B,0xF6CD,0xC2,0x0ED6,0x0ED6
0x2C,0x05A3,0xC3,0x0AEF,0x0249
0x2D,0x1092,0xC3,0x2706,0x0024
0x2E,0x3798,0xC3,0x2652,0x1F41
0x2F,0x5DEA,0xC3,0x5DA8,0x5DA8
0x30,0x0000,0x00,0x0000,0x0000
0x31,0x0000,0x00,0x0000,0x0000
0x32,0xBB92,0xC3,0x1518,0x816
0x33,0xD0AA,0xC3,0x07BC,0x07BC
0x34,0xD866,0xC3,0x07CE,0x024
0x35,0xE034,0xC3,0x0BA3,0x09CF
0x36,0xEBD7,0xC3,0x0AE6,0x0AE6
0x37,0x0000,0x00,0x0000,0x0000
0x38,0xF6BD,0xC3,0x1275,0x0036
0x39,0x0932,0xC4,0x3ECA,0x3ECA
0x3A,0x47FC,0xC4,0x2328,0x1518
0x3B,0x6B24,0xC4,0x081F,0x081F
0x3C,0x7343,0xC4,0x1F38,0x0024
0x3D,0x927B,0xC4,0x3699,0x3699
0x3E,0xC914,0xC4,0x3699,0x3699
0x3F,0x0000,0x00,0x0000,0x0000
0x40,0xFFAD,0xC4,0x1758,0x1758
0x41,0x1705,0xC5,0x1371,0xF39
0x42,0x2A76,0xC5,0x056A,0x056A
0x43,0x2FE0,0xC5,0x07BC,0x07BC
0x44,0x379C,0xC5,0x14FD,0x005A
0x45,0x0000,0x00,0x0000,0x0000
0x46,0x4C99,0xC5,0x0750,0x0750
0x47,0x53E9,0xC5,0x1E60,0x1E60
0x48,0x7249,0xC5,0x2316,0x2316
0x49,0x955F,0xC5,0x0384,0x0036
0x4A,0x98E3,0xC5,0x2ECB,0x2ECB
0x4B,0xC7AE,0xC5,0x0F27,0x0F27
0x4C,0xD6D5,0xC5,0x0BA3,0x0BA3
0x4D,0xE278,0xC5,0x0F8A,0x0F8A
0x4E,0xF202,0xC5,0x1371,0x1371
0x4F,0x0573,0xC6,0x0627,0x627
0x50,0x0B9A,0xC6,0x1BA2,0x1BA2
0x51,0x273C,0xC6,0x1F26,0x1F26
0x52,0x4662,0xC6,0x1182,0x1182
0x53,0x57E4,0xC6,0x0FED,0x0FED
0x54,0x67D1,0xC6,0x2316,0x2316
0x55,0x8AE7,0xC6,0x1F26,0x1F26
0x56,0xAA0D,0xC6,0x09BD,0x0024
0x57,0xB3CA,0xC6,0x0762,0x002D
0x58,0xBB2C,0xC6,0x0372,0x0372
0x59,0xBE9E,0xC6,0x030F,0x001B
0x5A,0xC1AD,0xC6,0x07BC,0x07BC
0x5B,0xC969,0xC6,0x1506,0x1506
0x5C,0xDE6F,0xC6,0x0786,0x0786
0x5D,0xE5F5,0xC6,0x0C72,0x05D6
0x5E,0x0000,0x00,0x0000,0x0000
0x5F,0xF267,0xC6,0x07D7,0x0507
0x60,0xFA3E,0xC6,0x0DA4,0x0396
0x61,0x07E2,0xC7,0x0951,0x040B
0x62,0x1133,0xC7,0x0AEF,0x0024
0x63,0x1C22,0xC7,0x2ECB,0x2ECB
